sample_index,Scenario,instructions,cpu-migrations,mem_access_rd,mem_access_wr,cache-misses,L1-icache-loads,dTLB-store-misses
20,Attack,3329715238.0,0.0,588613467.0,645675330.0,33790177.0,1386627899.0,2963193.0
21,Attack,3313062037.0,0.0,864900960.0,635361980.0,35021277.0,1473887967.0,2742027.0
22,Attack,7842067759.0,0.0,1495211026.0,1245221482.0,73568294.0,3270176811.0,4166130.0
23,Attack,7841547399.0,0.0,1426879420.0,1341334629.0,68214343.0,3622218701.0,2343516.0
24,Attack,3388163656.0,0.0,468696059.0,538879569.0,22876781.0,1152269837.0,1306851.0
25,Attack,10026028569.0,1023.0,1869312901.0,1655790259.0,64091707.0,3430554401.0,3977270.0
26,Attack,5212693822.0,0.0,1070228617.0,828164923.0,52316107.0,1920391042.0,3934128.0
27,Attack,2703607358.0,0.0,625938794.0,442787832.0,31055750.0,1401295067.0,2419203.0
28,Attack,1767468726.0,0.0,372742393.0,326873425.0,10553060.0,452036184.0,516121.0
29,Attack,4170148360.0,0.0,691205752.0,623697227.0,37661333.0,1624421293.0,2569663.0
30,Attack,4993758890.0,0.0,1426828699.0,1373616974.0,24730838.0,2254621731.0,1119582.0
31,Attack,5055610702.0,0.0,911378047.0,771671225.0,48781023.0,1849762077.0,3952753.0
32,Attack,3194744391.0,0.0,626795408.0,540946694.0,21062510.0,1774941727.0,1989230.0
33,Attack,4739994927.0,0.0,730677415.0,690078047.0,10595698.0,2005976200.0,813337.0
34,Attack,3911255540.0,0.0,622167441.0,647483097.0,15534813.0,1683611910.0,807134.0
35,Attack,3322890470.0,0.0,507101556.0,447840672.0,8191559.0,1524939507.0,788989.0
36,Attack,4929957349.0,0.0,663306244.0,609363901.0,13566204.0,2027954850.0,773757.0
37,Attack,5606850467.0,0.0,1183395302.0,980796135.0,46839895.0,2694506391.0,2413419.0
38,Attack,7953775134.0,1067.0,1533128662.0,1202260737.0,60040570.0,3265359057.0,2758797.0
39,Attack,3377667904.0,0.0,628118275.0,580209036.0,10703749.0,1401467929.0,549758.0
40,Benign,3451404047.0,0.0,878779375.0,685264942.0,43132899.0,1372981403.0,2689729.0
41,Attack,4372344082.0,0.0,969466159.0,821746809.0,15022992.0,1774869536.0,1155906.0
42,Attack,7270220140.0,0.0,1189726886.0,1099974947.0,32924302.0,2853148067.0,1834488.0
43,Attack,7643788066.0,1082.0,1568337907.0,1273313776.0,55076308.0,3054037906.0,2829105.0
44,Attack,552507267.0,0.0,183922651.0,224131770.0,3638024.0,356338758.0,420562.0
45,Attack,3106050053.0,0.0,494113231.0,488973237.0,3639484.0,1192632877.0,267441.0
46,Attack,7378275149.0,0.0,1270058202.0,1138186451.0,54349648.0,3081892814.0,2739943.0
47,Attack,5649447420.0,1081.0,1293331610.0,1133454189.0,54206816.0,2437197291.0,3124803.0
48,Attack,5013275272.0,0.0,1018571464.0,818638410.0,53752850.0,2319020698.0,2590678.0
49,Attack,1541450713.0,0.0,300505344.0,311530842.0,3789266.0,533966314.0,196566.0
50,Benign,4353940477.0,0.0,1025214775.0,800504522.0,56777061.0,2261113553.0,3482150.0
51,Attack,9609750803.0,1084.0,1794078042.0,1468957283.0,74674260.0,3996609909.0,4345091.0
52,Benign,2959320161.0,0.0,822362173.0,634423310.0,51085553.0,1414726088.0,2727640.0
53,Attack,1469850349.0,0.0,170461254.0,170000815.0,1779223.0,560950775.0,234478.0
54,Attack,7230562854.0,0.0,1268566271.0,1015524600.0,50146098.0,2965530114.0,1956044.0
55,Benign,3164842876.0,0.0,731699832.0,599561134.0,41220196.0,1209844472.0,2993878.0
56,Benign,3029314340.0,0.0,975357929.0,771505631.0,50511792.0,1506884904.0,2589529.0
57,Attack,9350872193.0,1301.0,2150389058.0,1699423800.0,106573763.0,4262150544.0,5177779.0
58,Attack,6825074880.0,0.0,1046424261.0,963124675.0,31137296.0,3006347360.0,2125756.0
59,Benign,3222813487.0,0.0,672966611.0,483556985.0,68973152.0,1150186449.0,1449808.0
60,Benign,2337327303.0,0.0,901547901.0,650061923.0,50989377.0,1520942949.0,2077904.0
61,Attack,5549712813.0,0.0,1192734669.0,1014884574.0,59088430.0,2161694103.0,3471581.0
62,Attack,8248288091.0,1289.0,1667281149.0,1342382850.0,72067976.0,3357515021.0,4445243.0
63,Attack,4385051119.0,0.0,419906611.0,404539187.0,3203924.0,1320663047.0,264303.0
64,Attack,8440401404.0,1181.0,1662947803.0,1377747806.0,51167228.0,2901627469.0,3232724.0
65,Attack,2883473879.0,0.0,434030279.0,453072171.0,8578331.0,630591418.0,451366.0
66,Attack,3825895600.0,0.0,677120187.0,644706438.0,13863504.0,1081525191.0,300500.0
67,Attack,4816944170.0,0.0,880376426.0,733467789.0,23585135.0,1867972046.0,1603786.0
68,Attack,3363774833.0,0.0,566173096.0,528359848.0,7303366.0,1349724788.0,205232.0
69,Attack,3523821604.0,0.0,903333595.0,756834067.0,43268907.0,1907259841.0,3159641.0
70,Benign,3803634533.0,0.0,660603925.0,512762983.0,49066100.0,1288696773.0,3240851.0
71,Attack,6583823285.0,1161.0,1298959789.0,1090864774.0,55211546.0,2961669667.0,3663925.0
72,Attack,6039418568.0,0.0,867586461.0,752524595.0,44843815.0,2380983707.0,3473809.0
73,Attack,6146772302.0,0.0,1231061571.0,1014500545.0,36289223.0,2711765971.0,1823439.0
74,Attack,8227279253.0,1082.0,1651296587.0,1365607872.0,57489613.0,3011671243.0,3608552.0
75,Attack,3806202020.0,0.0,440796365.0,466667390.0,10876894.0,1910866135.0,807658.0
76,Attack,5656257667.0,1200.0,1285039216.0,1117512645.0,53995667.0,2079794533.0,4177805.0
77,Benign,2807244425.0,0.0,687276302.0,534021125.0,41608870.0,1518112228.0,2756415.0
78,Attack,7188126185.0,0.0,1170745328.0,1044469665.0,60134770.0,2708917422.0,3437491.0
79,Attack,7840692636.0,1138.0,1242933159.0,989086233.0,36654593.0,2799198076.0,3443342.0
80,Benign,3284273337.0,0.0,715429435.0,560931360.0,44390417.0,1393994201.0,2802687.0
81,Attack,7363596428.0,1122.0,1462814778.0,1344797825.0,55113287.0,2805512565.0,3454563.0
82,Attack,5409405565.0,1175.0,1265423069.0,1041091228.0,53100496.0,2254571928.0,3216432.0
83,Benign,3047821346.0,0.0,990464447.0,785243677.0,55534836.0,1602742670.0,3175288.0
84,Attack,6625131991.0,1072.0,1287079600.0,1059628435.0,57504484.0,2351459637.0,2937006.0
85,Attack,9903095681.0,1281.0,1979771882.0,1674163536.0,83672477.0,4326328562.0,5157502.0
86,Attack,8659690896.0,0.0,1212627919.0,1050842800.0,37459232.0,3062792989.0,1866580.0
87,Attack,5731361248.0,0.0,1392518679.0,1101958878.0,51449917.0,2251601908.0,2738216.0
88,Attack,4300355540.0,0.0,1200779735.0,911577852.0,40542021.0,2259271646.0,2548371.0
89,Benign,2894133719.0,0.0,745300858.0,581974933.0,48702046.0,1340243103.0,2705439.0
90,Benign,3038435846.0,0.0,750938335.0,586562327.0,47336622.0,1533178293.0,2906126.0
91,Benign,3352713107.0,0.0,1003368447.0,816970544.0,51509317.0,1461718950.0,2917052.0
92,Benign,3199827616.0,0.0,758616418.0,559762847.0,43555110.0,1265409655.0,2613885.0
93,Attack,7269138861.0,0.0,1294816507.0,1144081277.0,47670621.0,2641957461.0,3336690.0
94,Attack,2444189971.0,0.0,572637795.0,434438057.0,6948110.0,1468134267.0,600393.0
95,Attack,5140491414.0,0.0,1001442838.0,792763782.0,45242338.0,2483810193.0,2186147.0
96,Attack,6462464067.0,1036.0,1202686748.0,970642173.0,56371633.0,2878103675.0,3571202.0
97,Attack,5461784620.0,0.0,1138380137.0,911935369.0,51005886.0,2282874244.0,3179862.0
98,Attack,6933967552.0,0.0,1316359240.0,1168428376.0,65655784.0,2615789356.0,3591929.0
99,Benign,5683810154.0,0.0,1384374539.0,1027066989.0,77700330.0,2854122621.0,4011842.0
100,Benign,3098784551.0,0.0,810244076.0,635697538.0,51201506.0,1603642718.0,2914415.0
101,Attack,6971501070.0,0.0,1402899766.0,1162696330.0,61359033.0,2912880138.0,3473771.0
102,Attack,6532111538.0,0.0,1133567412.0,942268017.0,45543581.0,2526331891.0,2611093.0
103,Attack,4022341257.0,1007.0,1026652629.0,822780458.0,43212038.0,2252531444.0,3580532.0
104,Attack,9434383554.0,1001.0,1735396974.0,1453946697.0,51993018.0,3747183042.0,3104840.0
105,Attack,5775446666.0,0.0,980037441.0,846372252.0,56209160.0,1837184335.0,3391912.0
106,Benign,3598381318.0,0.0,1070737526.0,783273539.0,57116504.0,1792614729.0,3460604.0
107,Benign,3456923962.0,0.0,746458748.0,584384145.0,55625040.0,1485733988.0,2336582.0
108,Attack,6719145235.0,1225.0,1154830087.0,1041560533.0,51784200.0,2625515075.0,4107114.0
109,Attack,7556290964.0,1002.0,1880523608.0,1516027684.0,66251136.0,3436370090.0,3951225.0
110,Benign,3125316244.0,0.0,709074760.0,529584505.0,44934865.0,1219735873.0,3019297.0
111,Attack,7375208193.0,0.0,906175231.0,808914553.0,34360841.0,2847460829.0,1629477.0
112,Attack,4597493103.0,0.0,511476750.0,444959594.0,12442522.0,1600474115.0,627541.0
113,Attack,6400965103.0,0.0,1467450729.0,1165043317.0,36307227.0,2397202361.0,1822147.0
114,Attack,4243704080.0,0.0,842080433.0,637848287.0,36749096.0,1817354589.0,2483563.0
115,Benign,3318865336.0,0.0,966813347.0,823018350.0,56204648.0,1478441982.0,3136590.0
116,Benign,4888785143.0,0.0,1375814599.0,1009411522.0,79321360.0,2832516163.0,3753700.0
117,Attack,6318183977.0,0.0,1096967108.0,917801825.0,47629164.0,2152338287.0,1189058.0
118,Benign,3170568051.0,0.0,723357144.0,584452465.0,47397923.0,1431650815.0,2562067.0
119,Attack,6818479092.0,0.0,1246839286.0,1068488768.0,50280953.0,2833924457.0,3330583.0
120,Benign,4506690593.0,0.0,1173511866.0,800584130.0,63208243.0,2509932478.0,3154075.0
121,Benign,3113116475.0,0.0,718547498.0,569268699.0,44291078.0,1516340417.0,2635798.0
122,Benign,3411084745.0,0.0,696756273.0,559784256.0,46564365.0,1385183645.0,2701033.0
123,Attack,7375009136.0,1257.0,1389238243.0,1154943050.0,64348892.0,2835232106.0,3652248.0
124,Attack,7161472584.0,1171.0,1491560295.0,1236215884.0,46338390.0,3237793125.0,2968422.0
125,Benign,6004865007.0,0.0,1279038696.0,985905820.0,68190230.0,2607560920.0,4413382.0
126,Attack,4584210215.0,0.0,642158389.0,616413976.0,10133240.0,1987978431.0,860401.0
127,Attack,6901874968.0,0.0,1430142054.0,1235325467.0,36542060.0,2256953637.0,1316666.0
128,Benign,3021971264.0,0.0,850524305.0,574909809.0,40501025.0,1357290172.0,2469315.0
129,Attack,5880299387.0,0.0,925651928.0,829248768.0,52375275.0,2281180212.0,3590879.0
130,Attack,6249292410.0,0.0,1491142844.0,1202454092.0,50865592.0,2920948000.0,3692607.0
131,Attack,6060401229.0,0.0,1329803871.0,1094220543.0,59180025.0,2663077000.0,3164094.0
132,Attack,6989622503.0,1156.0,1675919005.0,1301662311.0,65868088.0,3204711911.0,4035924.0
133,Attack,6567836880.0,1168.0,1252891244.0,969464964.0,40493684.0,2599748121.0,3335870.0
134,Attack,7537651112.0,0.0,1202159436.0,1054938253.0,41894452.0,3480848763.0,2412731.0
135,Attack,3024927363.0,0.0,297198059.0,306992161.0,6314796.0,1014146497.0,164937.0
136,Attack,8504097100.0,0.0,1575908569.0,1347170022.0,61942811.0,3217593332.0,3365161.0
137,Attack,4533647285.0,0.0,1186868680.0,919191124.0,49503908.0,1861302094.0,3078195.0
138,Attack,6727001310.0,1076.0,1262480822.0,1046937001.0,57016902.0,2708081132.0,3912749.0
139,Attack,5766205723.0,1216.0,1056470323.0,878516123.0,56274701.0,2600638042.0,3395322.0
140,Benign,2844187882.0,0.0,824880591.0,637411166.0,39519420.0,1499284908.0,2413147.0
141,Benign,3090261854.0,0.0,788909954.0,611033721.0,48119119.0,1555415782.0,3051673.0
142,Attack,6853502097.0,1083.0,1326912119.0,1045487459.0,44998669.0,2721284264.0,2815655.0
143,Attack,10241041406.0,1161.0,2262080488.0,1859017335.0,93918032.0,4374336145.0,4411099.0
144,Attack,6824705791.0,1225.0,1492681421.0,1326990571.0,57945883.0,2460089213.0,3354707.0
145,Attack,5060372444.0,0.0,1213140911.0,942693712.0,49994398.0,2526320632.0,3249354.0
146,Attack,3021124710.0,0.0,832676405.0,658982050.0,30333030.0,1818147631.0,1252388.0
147,Benign,3541611371.0,0.0,682494870.0,581783343.0,48088696.0,1259635512.0,2850070.0
148,Attack,5444669606.0,0.0,568165673.0,542908533.0,13429233.0,1923848397.0,729732.0
149,Attack,4481534951.0,0.0,481182383.0,455298560.0,13471376.0,1908152458.0,667171.0
150,Benign,2929868255.0,0.0,748205324.0,586775380.0,47628024.0,1568820875.0,2661602.0
151,Benign,3112887342.0,0.0,731701532.0,599065298.0,48348750.0,1469973929.0,2866600.0
152,Attack,6386842868.0,1186.0,1173071056.0,1042814602.0,61145733.0,2886741521.0,3433489.0
153,Attack,6097481089.0,1123.0,1224208004.0,983331643.0,57272094.0,2563982771.0,3663804.0
154,Benign,3192327792.0,0.0,832220678.0,676000771.0,51569540.0,1439151293.0,2826613.0
155,Attack,10494524401.0,1394.0,1808113315.0,1481837138.0,75450423.0,4971073040.0,4294589.0
156,Attack,7201230296.0,0.0,1034053816.0,897798346.0,50096892.0,3275843582.0,3012312.0
157,Attack,6775182451.0,0.0,1038913367.0,938138295.0,55423117.0,2289446990.0,1113657.0
158,Benign,3352991243.0,0.0,860834302.0,685818103.0,46010772.0,1531364357.0,2868228.0
159,Attack,7340338680.0,0.0,1175490415.0,952132279.0,71716102.0,2909111777.0,3654212.0
160,Attack,7444911126.0,1373.0,1260569744.0,1044921630.0,53633953.0,2591614575.0,3681635.0
161,Benign,6307520994.0,0.0,1372835309.0,1035291690.0,70502264.0,2758881098.0,4424318.0
162,Attack,11226853527.0,1240.0,1694555223.0,1461323320.0,79771449.0,4816372817.0,4260762.0
163,Benign,3360378458.0,0.0,807340660.0,602170197.0,45817368.0,1530718252.0,3043294.0
164,Benign,3147987608.0,0.0,670056887.0,519336597.0,37933200.0,1271444334.0,2818300.0
165,Attack,7512234328.0,0.0,1269293945.0,1115037667.0,47443434.0,2051520948.0,1145886.0
166,Benign,2803806064.0,0.0,862662444.0,669985853.0,43941510.0,1693372766.0,2498773.0
167,Attack,7469659551.0,1089.0,1560294212.0,1269188712.0,60368986.0,2622201781.0,4558749.0
168,Attack,8678295588.0,0.0,1736257661.0,1461724751.0,55109682.0,3537592481.0,3556924.0
169,Benign,3566581208.0,0.0,661045072.0,585622673.0,46532071.0,1371989594.0,3289289.0
170,Attack,6507622067.0,0.0,1124350869.0,935447383.0,52024464.0,2546256881.0,3211513.0
171,Attack,6171644096.0,0.0,1343511628.0,1179208661.0,45506366.0,2380653638.0,1532902.0
172,Attack,7342097556.0,0.0,1205807106.0,1042772239.0,32854972.0,2927365910.0,2229115.0
173,Attack,7579362101.0,0.0,1518923667.0,1323077810.0,39245730.0,2987095902.0,1880045.0
174,Attack,3322342335.0,0.0,791108076.0,678618333.0,19450521.0,1715833771.0,1307576.0
175,Benign,3126603079.0,0.0,683022328.0,562797911.0,48938964.0,1404701974.0,3279607.0
176,Attack,2893316067.0,0.0,832612444.0,650402104.0,42635021.0,1696553282.0,1931414.0
177,Attack,5776244811.0,1035.0,1214239175.0,1001891957.0,64067085.0,2739350720.0,2874987.0
178,Attack,3428100431.0,0.0,579554228.0,454108432.0,23756328.0,1627378651.0,1251448.0
179,Attack,4585830710.0,0.0,623222729.0,528828733.0,10477906.0,1941105753.0,666810.0
180,Attack,6757088626.0,0.0,1181792576.0,1010147189.0,41732314.0,2768722467.0,2137526.0
181,Attack,10797598324.0,1207.0,1837113073.0,1449510817.0,80440098.0,3809680666.0,4805869.0
182,Attack,4886819604.0,0.0,975564356.0,871337191.0,25822061.0,2142982743.0,1299706.0
183,Attack,6201247653.0,0.0,1074654484.0,858012207.0,36159608.0,2943112504.0,2169662.0
184,Attack,5269663269.0,0.0,923199113.0,755445875.0,53559265.0,2129619681.0,3795067.0
185,Benign,3539506408.0,0.0,674322749.0,517396993.0,49265266.0,1320914764.0,3321420.0
186,Benign,3188203565.0,0.0,832130984.0,635824519.0,50256095.0,1635717804.0,2787646.0
187,Attack,10750373192.0,1106.0,1464669761.0,1304070544.0,57552615.0,3561528951.0,3545878.0
188,Attack,3699203335.0,0.0,553830814.0,499567900.0,12236477.0,1744362552.0,710077.0
189,Attack,8291340324.0,1367.0,2097548138.0,1615055797.0,71886786.0,3971328811.0,5047831.0
190,Attack,10302285300.0,1207.0,1744562460.0,1482810909.0,116901853.0,4344861636.0,5702104.0
191,Attack,4710378884.0,0.0,658086635.0,624973645.0,13297088.0,1777955907.0,689578.0
192,Benign,5441576531.0,0.0,1289347469.0,928614228.0,86405383.0,2480581109.0,4602983.0
193,Attack,5757457084.0,0.0,621863692.0,625818904.0,5348049.0,2059783829.0,520557.0
194,Benign,2908425437.0,0.0,831124649.0,631355205.0,39985102.0,1370848447.0,2526726.0
195,Attack,4069025060.0,0.0,858186361.0,707099726.0,56904171.0,1723633907.0,2666510.0
196,Benign,3189310613.0,0.0,867655714.0,704204741.0,59144057.0,1385631152.0,2911538.0
197,Benign,2974702177.0,0.0,768454724.0,646415875.0,49800651.0,1454302709.0,3478854.0
198,Attack,6388529178.0,0.0,957770184.0,835478704.0,47531081.0,2165665656.0,3305184.0
199,Benign,2886299385.0,0.0,815573822.0,590195935.0,38329853.0,1557146270.0,2446363.0
200,Attack,10555853113.0,1007.0,1899852158.0,1609172148.0,82455316.0,4000485148.0,3038452.0
201,Attack,3338529406.0,0.0,306630029.0,310083445.0,3861451.0,1883399252.0,807589.0
202,Benign,4643704253.0,0.0,1231971946.0,880872183.0,68123806.0,2791718408.0,3583530.0
203,Benign,3215451378.0,0.0,782333441.0,590453278.0,42523060.0,1400772697.0,2589809.0
204,Attack,4388513383.0,0.0,884166655.0,705899502.0,46057933.0,1845238601.0,2854180.0
205,Benign,3262528407.0,0.0,711365514.0,564236234.0,54219785.0,1271972720.0,3141887.0
206,Attack,8318451542.0,0.0,1514791666.0,1259192920.0,41344213.0,3127560257.0,2126231.0
207,Benign,2995762073.0,0.0,819446860.0,605437695.0,45071517.0,1574740134.0,2794865.0
208,Attack,9960519089.0,1116.0,1701094490.0,1361534505.0,80848409.0,4390077057.0,3987390.0
209,Benign,2936126490.0,0.0,943665124.0,717705165.0,43788227.0,1640683467.0,2301426.0
210,Benign,3218747239.0,0.0,740573540.0,564470034.0,42927674.0,1318259508.0,2529567.0
211,Attack,4863053920.0,0.0,514983499.0,504386415.0,11426956.0,2254351916.0,735144.0
212,Attack,3906698135.0,0.0,1129801670.0,851268201.0,38869324.0,2062667366.0,3090738.0
213,Attack,5235762032.0,0.0,910594343.0,812537453.0,16689552.0,2090836748.0,699380.0
214,Attack,9697351667.0,1365.0,1877670617.0,1513120975.0,90074823.0,3911063156.0,4669112.0
215,Attack,7107955170.0,0.0,1216910007.0,1045543583.0,45688687.0,3018889521.0,2517456.0
216,Benign,2648720226.0,0.0,729167901.0,548876303.0,37425141.0,1486758456.0,2410615.0
217,Benign,3160765737.0,0.0,798474445.0,586016910.0,51697248.0,1478929701.0,2876558.0
218,Benign,3337956589.0,0.0,687192420.0,548965190.0,55983993.0,1546460654.0,2894910.0
219,Benign,4561744999.0,1035.0,1526006733.0,1123774122.0,59744281.0,2412532362.0,3819132.0
220,Benign,3996559569.0,0.0,948913947.0,689312125.0,52580162.0,2240345294.0,3434278.0
221,Attack,7966577506.0,1137.0,1671131303.0,1356926788.0,96108341.0,3376985320.0,4954272.0
222,Attack,5633750302.0,0.0,1037385620.0,879972744.0,47554513.0,2183883219.0,3207913.0
223,Attack,5292165075.0,1004.0,1274767739.0,992802676.0,50792127.0,2580078346.0,2465976.0
224,Benign,4296897509.0,0.0,1201766246.0,854822204.0,68695440.0,2237874889.0,3949487.0
225,Attack,5339099932.0,0.0,1185620191.0,938822573.0,40929832.0,2479542418.0,2241429.0
226,Benign,3570491253.0,0.0,1174430253.0,862164599.0,51746609.0,1765747545.0,2495307.0
227,Attack,7323481361.0,0.0,1634853482.0,1300746967.0,49954038.0,3639656812.0,3821222.0
228,Attack,5275502713.0,0.0,1082931761.0,842056627.0,56995794.0,2429397108.0,2827507.0
229,Attack,9612517220.0,1197.0,1641379765.0,1371884148.0,46151039.0,4476309002.0,2822005.0
230,Attack,8724362945.0,1005.0,1507637518.0,1296486340.0,58513919.0,3498528914.0,3601321.0
231,Attack,4099727430.0,0.0,1110362539.0,824327011.0,53400072.0,1372227938.0,3345188.0
232,Attack,8735317004.0,0.0,1723548898.0,1400756058.0,58805134.0,3596204103.0,3078295.0
233,Benign,3003607339.0,0.0,835077788.0,616201279.0,48616107.0,1484044914.0,2842312.0
234,Benign,2717366873.0,0.0,902208276.0,628332786.0,38765908.0,1606541169.0,2260735.0
235,Attack,6184792496.0,1148.0,1219062081.0,998795570.0,54219761.0,2938011651.0,3950299.0
236,Attack,10297837894.0,1405.0,2017862301.0,1630406352.0,100813331.0,3602191220.0,5426450.0
237,Attack,7242453615.0,1122.0,1578359852.0,1332758245.0,49808943.0,2988651525.0,2883301.0
238,Benign,3386826396.0,0.0,733448493.0,609016908.0,51650984.0,1495588161.0,2841952.0
239,Attack,7642169318.0,0.0,1263447355.0,1027316513.0,62049325.0,3249536517.0,3248786.0
240,Attack,6680742347.0,0.0,950390362.0,773598392.0,53441222.0,1821945360.0,1353088.0
241,Attack,5406612038.0,1211.0,1328408641.0,1009365892.0,60581250.0,2372278538.0,3064941.0
242,Benign,3091361790.0,0.0,759271646.0,554430674.0,36504717.0,1379337566.0,2513061.0
243,Benign,2991882618.0,0.0,743053863.0,582349795.0,46980399.0,1480684430.0,2959265.0
244,Attack,5467468767.0,0.0,1071155977.0,958325076.0,46230955.0,2442408420.0,1467458.0
245,Attack,7409083994.0,0.0,1323515941.0,1139169850.0,39098283.0,3423803796.0,2531152.0
246,Benign,2849063484.0,0.0,839716112.0,610460058.0,44337244.0,1522899469.0,2771003.0
247,Attack,5153204005.0,1084.0,1188055246.0,978240613.0,54943734.0,2243234952.0,3135738.0
248,Attack,9680988484.0,1054.0,1561970471.0,1367261040.0,55007799.0,3711829655.0,3888108.0
249,Attack,3786113074.0,0.0,816466201.0,720018420.0,52855803.0,1381686649.0,3585517.0
250,Attack,9355140542.0,1462.0,1980569381.0,1599406979.0,77232460.0,4118928917.0,5422667.0
251,Attack,7750549604.0,0.0,1653804028.0,1212086650.0,80594527.0,3151770441.0,4558992.0
252,Attack,9953217801.0,0.0,1521232854.0,1262630581.0,47116265.0,3992682314.0,3249872.0
253,Benign,3760801544.0,0.0,1223231313.0,877337446.0,47326902.0,2093962517.0,2621622.0
254,Benign,3431578500.0,0.0,733428586.0,558508207.0,51723514.0,1590753351.0,2674769.0
255,Attack,7414628476.0,0.0,1703425380.0,1481402998.0,45090967.0,2842877932.0,1788211.0
256,Benign,3211972130.0,0.0,766994628.0,604725711.0,51952597.0,1617288985.0,2843520.0
257,Benign,4608092281.0,0.0,1051661517.0,827479571.0,81393773.0,2196058626.0,3251855.0
258,Attack,8453855225.0,0.0,1406258058.0,1277269296.0,50330660.0,3379628011.0,3238207.0
259,Benign,3231938832.0,0.0,788857057.0,613719263.0,43714476.0,1456034859.0,2959192.0
260,Attack,3462194252.0,0.0,1121715956.0,959301337.0,17781922.0,1493257988.0,1525234.0
261,Benign,4605383527.0,0.0,1260088158.0,1008116717.0,72505510.0,2462253605.0,4320995.0
262,Attack,3087507197.0,0.0,633245834.0,593028145.0,6582499.0,921450588.0,286913.0
263,Attack,4108940724.0,1145.0,995248076.0,882638866.0,57502346.0,2426583657.0,3172065.0
264,Attack,5446105268.0,0.0,1361079531.0,1074117993.0,44200737.0,2359010516.0,2633164.0
265,Attack,8402326871.0,1190.0,1603079057.0,1319768598.0,50756143.0,3628460888.0,2371488.0
266,Attack,7568041653.0,1004.0,1527484461.0,1222438515.0,85373178.0,3879739952.0,4293250.0
267,Attack,5562358425.0,0.0,901311605.0,718428383.0,47131603.0,2373253992.0,3493112.0
268,Benign,3024650896.0,0.0,833485695.0,620799683.0,45320021.0,1784122352.0,2549490.0
269,Attack,6053559821.0,0.0,1299375133.0,1012246217.0,49131758.0,2857850828.0,3636940.0
270,Attack,9017447680.0,0.0,1400920222.0,1207286335.0,52398444.0,3331339764.0,3389310.0
271,Attack,4993322560.0,0.0,640003560.0,604111592.0,12078776.0,1893898074.0,836190.0
272,Attack,7486792300.0,0.0,1662240474.0,1463638338.0,25309293.0,2750655507.0,1621036.0
273,Attack,6135116118.0,0.0,1101461255.0,877994311.0,56188636.0,2737814719.0,3129294.0
274,Benign,2831594604.0,0.0,770791571.0,601410466.0,36925525.0,1374367070.0,2612583.0
275,Attack,3065117274.0,0.0,957073882.0,711035619.0,42302386.0,1730988452.0,2381326.0
276,Benign,3011928884.0,0.0,632807232.0,557531231.0,39649268.0,1332826738.0,2560433.0
277,Attack,9392609314.0,1333.0,2013937311.0,1649625781.0,68926606.0,3831372482.0,4664096.0
278,Attack,4339429621.0,0.0,810256858.0,712880885.0,21538000.0,2002154437.0,1136645.0
279,Benign,3465602346.0,0.0,822142798.0,616219836.0,46324016.0,1792336797.0,2742632.0
280,Attack,5702511318.0,0.0,784927734.0,707095314.0,22091866.0,2208556626.0,879585.0
281,Attack,9826392761.0,1122.0,1689275149.0,1452614852.0,59914158.0,3561288825.0,3181309.0
282,Attack,8497522189.0,1092.0,1473401098.0,1246911097.0,63439761.0,3484113794.0,3757935.0
283,Attack,6919722024.0,0.0,1257610508.0,1035401172.0,62530352.0,2543950346.0,2014592.0
